Speaker	Vowel	Time	F1.mean	F2.mean	F3.mean	F1.sd	F2.sd	F3.sd	F1.var	F2.var	F3.var	F1.F2.covar	F1.F3.covar	F2.F3.covar
7	IH	t3	536.1350084	2373.217804	3169.794219	29.58837536	85.02267382	205.1501697	875.4719562	7228.855063	42086.59215	240.725308	-726.7727483	8346.784984
7	OO	t1	349.8030305	783.3289856	2831.899184	17.14752718	66.77860033	151.5277615	294.0376886	4459.381463	22960.66252	520.8972287	-19.98365985	2282.590455
7	OO	t2	363.1927372	753.29682	2794.063202	17.02960582	88.53808598	131.5658353	290.0074745	7838.992669	17309.56902	400.5112767	-861.8538898	-3496.740557
7	OO	t3	378.8093423	764.2777653	2844.98502	23.3725409	81.57196221	127.1039305	546.2756679	6653.985019	16155.40914	583.2786527	-552.1024994	285.324155
7	UH	t1	698.0303929	1399.286122	3199.8237	82.55743867	119.2198945	121.7736393	6815.73068	14213.38325	14828.81924	7800.51773	6870.524294	8872.950733
7	UH	t2	727.6800309	1403.469285	3180.222997	46.57499418	49.02000626	147.0385023	2169.230083	2402.961014	21620.32115	1235.376968	1738.018194	3293.195659
7	UH	t3	771.2547556	1418.113514	3243.257694	39.63630489	46.18558873	88.36494	1571.036665	2133.108606	7808.362621	656.1395395	35.18508377	426.8592159
8	AE	t1	744.7254432	1464.273242	2246.171285	39.88231944	150.3816698	260.0366469	1590.599404	22614.6466	67619.05771	2966.979459	4020.424439	31026.05758
8	AE	t2	707.0497198	1576.063766	2339.639911	40.74961147	42.41257649	189.6824871	1660.530835	1798.826644	35979.4459	240.5617852	2690.030324	3679.735658
8	AE	t3	705.2059782	1588.861106	2372.695698	30.06789888	44.17308406	169.9485373	904.0785433	1951.261355	28882.50535	547.0924245	998.9161287	1590.747303
8	AH	t1	749.785228	1242.493925	2312.974178	29.44876891	47.4046542	217.2625749	867.2299905	2247.201239	47203.02645	795.7366494	3841.204819	5104.961701
8	AH	t2	720.9080086	1253.401756	2430.813734	26.01086647	51.05335051	145.2384368	676.5651744	2606.444598	21094.20351	-130.6699615	1483.156714	1146.490433
8	AH	t3	709.14818	1246.868559	2483.147823	27.97646974	22.27944171	142.887628	782.6828592	496.3735231	20416.87423	281.579296	1500.959406	1133.392112
8	EE	t1	285.1038895	2219.648992	2735.509113	23.52010566	81.90761008	90.84366869	553.1953703	6708.856589	8252.572142	-1205.729114	-905.5265361	5378.509009
8	EE	t2	288.8707107	2245.66431	2805.364661	25.33525129	55.66414491	69.60469118	641.8749581	3098.497028	4844.813035	63.09706264	697.8411292	2742.527131
8	EE	t3	290.7452589	2236.814801	2813.4957	18.0625705	61.43406392	103.4475326	326.2564532	3774.144209	10701.392	-248.3068975	-50.76608752	2546.485902
8	EH	t1	621.1888929	1667.743985	2451.178082	34.54601078	93.75339666	202.4915069	1193.426861	8789.699386	41002.81035	1373.97562	1713.455276	11412.69998
